GRU 1,LSTM 1,LSTM 2,MLP 1,RNN 1,real,t
0.5773457288742065,0.5509209036827087,0.5057122707366943,0.39858245069569187,0.5290802717208862,0.5151128275509879,1
0.5803530216217041,0.5580596327781677,0.5118284225463867,0.4015412371258753,0.5188086628913879,0.5247678018575852,2
0.5930482149124146,0.5649759769439697,0.5183674693107605,0.4000568446526006,0.5222952365875244,0.5122083559413998,3
0.5891135334968567,0.5647280216217041,0.5147504210472107,0.39642181880917,0.5439668893814087,0.4717212983945614,4
0.5911174416542053,0.5458175539970398,0.5049143433570862,0.37182609977836056,0.4630323052406311,0.4701254348728098,5
0.5581442713737488,0.5274778604507446,0.4926176071166992,0.3704730935509497,0.5122513771057129,0.4796367814624492,6
0.5333544015884399,0.5202796459197998,0.4882271885871887,0.3695859890943943,0.48233962059020996,0.4927707382464652,7
0.5418946743011475,0.5231397151947021,0.48257479071617126,0.39169074444802376,0.5379700660705566,0.4761737576202484,8
0.5693304538726807,0.5291779041290283,0.4821144640445709,0.38480520404403445,0.5043840408325195,0.48444033066292164,9
0.5740430355072021,0.533735990524292,0.4856231212615967,0.39261505778381023,0.5115466117858887,0.5023937952826274,10
0.5761832594871521,0.5441394448280334,0.4987100064754486,0.3860664577639621,0.4864295721054077,0.5294277233410998,11
0.5772359371185303,0.5543575286865234,0.5094929933547974,0.38134899754730306,0.5357283353805542,0.5250710159267179,12
0.5505641102790833,0.556649923324585,0.5083868503570557,0.39896110412397173,0.5765274167060852,0.5425616801251157,13
0.5690183639526367,0.5623303651809692,0.5341671705245972,0.41075468052831937,0.48282867670059204,0.5474450225016757,14
0.5779802799224854,0.575579047203064,0.5371836423873901,0.4112417178779972,0.6040317416191101,0.5399923398550955,15
0.5808570981025696,0.5775097608566284,0.5397804975509644,0.40068265405309683,0.5364407896995544,0.5383645590629088,16
0.5716686844825745,0.5734320282936096,0.5432178974151611,0.41432935566152784,0.5552297830581665,0.549934569595608,17
0.5801497101783752,0.5798001289367676,0.549102783203125,0.41840104534033357,0.5458596348762512,0.5464077112125372,18
0.591763973236084,0.5862895250320435,0.5449054837226868,0.423025235016266,0.5762606263160706,0.5471737257029778,19
0.6066527962684631,0.590883731842041,0.5495885610580444,0.4216964326025062,0.5310587286949158,0.5482589128977688,20
0.6095911264419556,0.5940725207328796,0.5512452125549316,0.41858415702143126,0.5507784485816956,0.5543870288212953,21
0.6067737340927124,0.596936821937561,0.5523346066474915,0.4245073818528131,0.5521330833435059,0.5548338706073856,22
0.615375816822052,0.6000796556472778,0.5560610294342041,0.42973519022788526,0.5382067561149597,0.5495834796208229,23
0.6302607655525208,0.6023968458175659,0.5555925369262695,0.42351182987288977,0.5423532128334045,0.5311352973093741,24
0.6261398792266846,0.5955142974853516,0.5488733649253845,0.40022426594469324,0.5239567756652832,0.5268264658006447,25
0.5974833369255066,0.5798538327217102,0.5419930815696716,0.38368915154478317,0.5134093165397644,0.5380773036289936,26
0.5573586821556091,0.5688552856445312,0.53739333152771,0.3983818733495662,0.556354820728302,0.5521847371612779,27
0.5619115233421326,0.5708432197570801,0.5434215068817139,0.4144693060002336,0.5395906567573547,0.550828253167789,28
0.5835702419281006,0.5793188810348511,0.5439910888671875,0.41345255530343056,0.5803753137588501,0.549312182822125,29
0.580832302570343,0.5833869576454163,0.5473359227180481,0.4118870361121361,0.5669284462928772,0.5571159554434904,30
0.5791952013969421,0.5846382975578308,0.5570136308670044,0.4148044869960624,0.539067804813385,0.5485621269669019,31
0.5850414633750916,0.5852115154266357,0.5516537427902222,0.4169064444114646,0.5791088342666626,0.547732277935591,32
0.5884014368057251,0.5862731337547302,0.5524124503135681,0.41890442718256804,0.5511476993560791,0.5346781143276628,33
