GRU 1,LSTM 1,LSTM 2,MLP 1,RNN 1,ARIMA,Naive,real,t
0.537244618,0.571409702,0.50225389,0.541722772,0.386859328,0.379589687,0,0.512208356,1
0.533943653,0.572974861,0.505699635,0.542279543,0.387863636,0.347679663,0.515112828,0.471721298,2
0.539491296,0.57289356,0.513258219,0.546618783,0.389133871,0.325848169,0.524767802,0.470125435,3
0.546058834,0.572097182,0.514155209,0.546602993,0.391003519,0.311981677,0.512208356,0.479636781,4
0.539451182,0.571756423,0.491928846,0.550723982,0.402992219,0.315949455,0.471721298,0.492770738,5
0.540100217,0.569565475,0.487113267,0.541228948,0.388298333,0.336663548,0.470125435,0.476173758,6
0.531660378,0.569952548,0.476509631,0.535549091,0.3805902,0.310027083,0.479636781,0.484440331,7
0.537007093,0.566573918,0.479788125,0.532410034,0.372494936,0.303673705,0.492770738,0.502393795,8
0.531443655,0.565216601,0.47592178,0.535783134,0.379353881,0.295054583,0.476173758,0.529427723,9
0.525722086,0.565352321,0.478743672,0.532909702,0.375767827,0.293799593,0.484440331,0.525071016,10
0.523810029,0.568552732,0.487823069,0.536920616,0.376527667,0.307701565,0.502393795,0.54256168,11
0.545156419,0.56607163,0.50534451,0.541167258,0.369088233,0.350109674,0.529427723,0.547445023,12
0.556946635,0.568668246,0.511365294,0.538871317,0.379500508,0.349868804,0.525071016,0.53999234,13
0.547522485,0.579989851,0.518123448,0.552848104,0.407280147,0.331137619,0.54256168,0.538364559,14
0.565299451,0.580182254,0.550507665,0.558108274,0.402038932,0.328584823,0.547445023,0.54993457,15
0.560248137,0.578920782,0.535174727,0.556469184,0.406286597,0.317530856,0.53999234,0.546407711,16
0.560449243,0.583649993,0.541460156,0.557800263,0.413373172,0.294357203,0.538364559,0.547173726,17
0.555479467,0.585286438,0.547047853,0.559688154,0.413679987,0.297952658,0.54993457,0.548258913,18
0.556469381,0.582896709,0.549432516,0.558100988,0.409618437,0.314069219,0.546407711,0.554387029,19
0.547685385,0.582915902,0.543592513,0.558736407,0.412377119,0.331195791,0.547173726,0.554833871,20
0.550362289,0.58316648,0.550616622,0.560221567,0.411079943,0.373423744,0.548258913,0.54958348,21
0.548370183,0.5829705,0.54998517,0.557275297,0.408868074,0.386228515,0.554387029,0.531135297,22
0.544796228,0.584746063,0.550925612,0.559776017,0.41398114,0.382155616,0.554833871,0.526826466,23
0.546423435,0.583305597,0.552424133,0.562414649,0.413814515,0.371659012,0.54958348,0.538077304,24
0.548753381,0.580665052,0.54343164,0.562388551,0.411718041,0.398558272,0.531135297,0.552184737,25
0.554137409,0.579146862,0.535822809,0.55952832,0.407185793,0.390426676,0.526826466,0.550828253,26
0.560029805,0.581008971,0.537425041,0.552802903,0.4027116,0.390145701,0.538077304,0.549312183,27
0.558343709,0.584134519,0.539020598,0.556595361,0.409919292,0.413118108,0.552184737,0.557115955,28
0.566115439,0.582139909,0.550455272,0.561470463,0.409434825,0.404167764,0.550828253,0.548562127,29
0.564467669,0.582059145,0.548355699,0.558733366,0.409804821,0.41260081,0.549312183,0.547732278,30
0.561340809,0.586617112,0.552564979,0.562689861,0.417354584,0.420427192,0.557115955,0.534678114,31
0.566003561,0.585360408,0.557280421,0.56372987,0.416331947,0.416047722,0.548562127,0.516772526,32
0.558524489,0.584796607,0.54993248,0.560738226,0.415865391,0.41212719,0.547732278,0.513389295,33
0.555704057,0.585017145,0.546722233,0.563453574,0.418185651,0.398074313,0.534678114,0.527448853,34
0.558764577,0.579598844,0.535361111,0.562482446,0.411215663,0.402344588,0.516772526,0.526906259,35
0.558876038,0.577862024,0.5252738,0.550728642,0.401166916,0.419588733,0.513389295,0.527097763,36
0.549265385,0.582057536,0.518107414,0.551407421,0.406930774,0.411320975,0.527448853,0.521703744,37
0.554943621,0.578868687,0.529556751,0.551126696,0.401100844,0.419356932,0.526906259,0.519884459,38
0.540873766,0.577556074,0.521700978,0.54984883,0.401577353,0.407096195,0.527097763,0.526379624,39
0.538878202,0.577929795,0.525484443,0.552729482,0.402978867,0.4002338,0.521703744,0.536784654,40
0.537931085,0.575773418,0.522572517,0.550418057,0.397881627,0.400234365,0.519884459,0.537566627,41
0.539827704,0.575971067,0.522073627,0.550628891,0.396318614,0.380281794,0.526379624,0.54361495,42
0.546671331,0.576806843,0.528707504,0.547940719,0.394217432,0.369117487,0.536784654,0.543024481,43
0.547641575,0.578818679,0.528522551,0.556354505,0.404453695,0.386141528,0.537566627,0.541907376,44
0.558715999,0.578142166,0.542246878,0.551900136,0.398292154,0.408699413,0.54361495,0.510676327,45
