GRU 1,LSTM 1,LSTM 2,MLP 1,RNN 1,real,t
0.5372446179389954,0.5714097023010254,0.5022538900375366,0.5417227720474121,0.38685932755470276,0.5122083559413998,1
0.5339436531066895,0.5729748606681824,0.505699634552002,0.5422795427722794,0.3878636360168457,0.4717212983945614,2
0.5394912958145142,0.5728935599327087,0.5132582187652588,0.5466187829446688,0.38913387060165405,0.4701254348728098,3
0.5460588335990906,0.5720971822738647,0.5141552090644836,0.5466029930963144,0.3910035192966461,0.4796367814624492,4
0.5394511818885803,0.5717564225196838,0.4919288456439972,0.5507239818213762,0.40299221873283386,0.4927707382464652,5
0.5401002168655396,0.56956547498703,0.48711326718330383,0.5412289483023517,0.3882983326911926,0.4761737576202484,6
0.5316603779792786,0.5699525475502014,0.47650963068008423,0.5355490910790757,0.38059020042419434,0.48444033066292164,7
0.5370070934295654,0.5665739178657532,0.4797881245613098,0.5324100341965414,0.3724949359893799,0.5023937952826274,8
0.5314436554908752,0.565216600894928,0.47592177987098694,0.5357831344432143,0.3793538808822632,0.5294277233410998,9
0.525722086429596,0.5653523206710815,0.47874367237091064,0.532909702458058,0.3757678270339966,0.5250710159267179,10
0.5238100290298462,0.5685527324676514,0.4878230690956116,0.5369206164543399,0.37652766704559326,0.5425616801251157,11
0.5451564192771912,0.566071629524231,0.5053445100784302,0.5411672576575994,0.36908823251724243,0.5474450225016757,12
0.5569466352462769,0.5686682462692261,0.5113652944564819,0.5388713166269022,0.37950050830841064,0.5399923398550955,13
0.5475224852561951,0.5799898505210876,0.51812344789505,0.5528481044974034,0.4072801470756531,0.5383645590629088,14
0.5652994513511658,0.5801822543144226,0.550507664680481,0.5581082735161271,0.40203893184661865,0.549934569595608,15
0.5602481365203857,0.5789207816123962,0.5351747274398804,0.5564691843668924,0.4062865972518921,0.5464077112125372,16
0.5604492425918579,0.5836499929428101,0.5414601564407349,0.5578002625153595,0.4133731722831726,0.5471737257029778,17
0.5554794669151306,0.5852864384651184,0.5470478534698486,0.5596881537749997,0.41367998719215393,0.5482589128977688,18
0.5564693808555603,0.5828967094421387,0.5494325160980225,0.5581009877122843,0.40961843729019165,0.5543870288212953,19
0.5476853847503662,0.5829159021377563,0.5435925126075745,0.5587364072640857,0.41237711906433105,0.5548338706073856,20
0.5503622889518738,0.5831664800643921,0.5506166219711304,0.560221567229988,0.41107994318008423,0.5495834796208229,21
0.5483701825141907,0.5829704999923706,0.5499851703643799,0.5572752973777757,0.40886807441711426,0.5311352973093741,22
0.5447962284088135,0.5847460627555847,0.550925612449646,0.5597760166416546,0.4139811396598816,0.5268264658006447,23
0.5464234352111816,0.5833055973052979,0.5524241328239441,0.5624146488630786,0.413814514875412,0.5380773036289936,24
0.5487533807754517,0.5806650519371033,0.5434316396713257,0.5623885508797972,0.4117180407047272,0.5521847371612779,25
0.5541374087333679,0.5791468620300293,0.5358228087425232,0.5595283197711405,0.40718579292297363,0.550828253167789,26
0.5600298047065735,0.5810089707374573,0.5374250411987305,0.5528029026445325,0.4027116000652313,0.549312182822125,27
0.5583437085151672,0.5841345191001892,0.5390205979347229,0.5565953613753024,0.40991929173469543,0.5571159554434904,28
0.5661154389381409,0.5821399092674255,0.5504552721977234,0.5614704634539275,0.40943482518196106,0.5485621269669019,29
0.5644676685333252,0.5820591449737549,0.5483556985855103,0.5587333661975639,0.4098048210144043,0.547732277935591,30
0.5613408088684082,0.586617112159729,0.5525649785995483,0.5626898611458738,0.4173545837402344,0.5346781143276628,31
0.5660035610198975,0.5853604078292847,0.557280421257019,0.563729869715776,0.416331946849823,0.5167725256136095,32
0.558524489402771,0.5847966074943542,0.5499324798583984,0.5607382261992394,0.41586539149284363,0.513389294947496,33
0.5557040572166443,0.5850171446800232,0.5467222332954407,0.5634535735770871,0.41818565130233765,0.5274488525741278,34
0.5587645769119263,0.5795988440513611,0.535361111164093,0.5624824464743765,0.4112156629562378,0.5269062589767323,35
0.5588760375976562,0.577862024307251,0.5252737998962402,0.5507286415848529,0.4011669158935547,0.5270977625993426,36
0.5492653846740723,0.582057535648346,0.5181074142456055,0.5514074213297857,0.4069307744503021,0.521703743895822,37
0.5549436211585999,0.5788686871528625,0.5295567512512207,0.551126696426499,0.40110084414482117,0.5198844594810251,38
0.5408737659454346,0.5775560736656189,0.5217009782791138,0.5498488298967764,0.401577353477478,0.5263796240145544,39
0.5388782024383545,0.5779297947883606,0.5254844427108765,0.5527294823046199,0.4029788672924042,0.5367846541763748,40
0.5379310846328735,0.5757734179496765,0.5225725173950195,0.5504180567111002,0.3978816270828247,0.537566627302033,41
0.5398277044296265,0.5759710669517517,0.5220736265182495,0.550628891051336,0.39631861448287964,0.5436149500494719,42
0.5466713309288025,0.5768068432807922,0.5287075042724609,0.5479407187739282,0.39421743154525757,0.5430244805464236,43
0.5476415753364563,0.578818678855896,0.5285225510597229,0.5563545051656688,0.40445369482040405,0.5419073760811975,44
0.5587159991264343,0.5781421661376953,0.5422468781471252,0.551900135749885,0.3982921540737152,0.5106763269605182,45
