Date,Close,Open,Max,Min,Volume
07-09-2022,7855.9,7791.1,7880.2,7784.4,147.01
06-09-2022,7842.2,7868,7935.9,7813.6,125.3
05-09-2022,7862.7,7801.3,7867.8,7765.5,119.38
02-09-2022,7932.2,7843.8,7943.4,7796.7,121.21
01-09-2022,7806,7838.8,7849.4,7797,132.47
31-08-2022,7886.1,7994.8,7996.4,7866.6,228.02
30-08-2022,7979.8,8004.5,8105.2,7968.6,158.86
29-08-2022,7989.6,7970.9,8005,7933.4,103.31
26-08-2022,8063.9,8229.7,8239.6,8044.1,120.27
25-08-2022,8187.5,8230,8263,8166.3,88.85
24-08-2022,8199.4,8196.9,8224.7,8161.8,82.59
23-08-2022,8226.3,8254.9,8272.6,8205.5,102.24
22-08-2022,8284.8,8291.6,8300.9,8213.6,125.08
19-08-2022,8338.1,8395,8408.7,8320.9,145.36
18-08-2022,8430.3,8440.7,8470.1,8392.6,88.54
17-08-2022,8434.8,8520.2,8540,8426.5,113.54
16-08-2022,8511.9,8448.7,8527.3,8440.4,118.72
15-08-2022,8427,8423.9,8429.3,8384.4,82.28
12-08-2022,8400.4,8383.5,8453,8371.4,118.97
11-08-2022,8380,8386,8420.4,8368.9,104.91
10-08-2022,8352.8,8299.6,8367.2,8295.9,131.02
09-08-2022,8311.9,8260,8339.6,8245.6,115.02
08-08-2022,8272.5,8220.9,8294.4,8193.3,118.57
05-08-2022,8168,8151.2,8198,8120.5,144.26
04-08-2022,8161.1,8148,8214.4,8133.9,135.7
03-08-2022,8142.1,8092.6,8161.3,8066.3,146.69
02-08-2022,8096.9,8060.6,8122.5,8049.8,154.64
01-08-2022,8085.1,8161.9,8230.7,8071.8,162.09
29-07-2022,8156.2,8140.3,8207.8,8134.1,249.07
28-07-2022,8084.9,8193.7,8196.4,7995.4,250.67
27-07-2022,8124.4,8106.5,8149.7,8054.2,147.9
26-07-2022,8069.6,8063.1,8097,8033.5,129.25
25-07-2022,8085.6,8021.9,8103.4,8015.7,124.36
22-07-2022,8051.6,8009.4,8085.3,7999.3,181.05
21-07-2022,8012.7,7981.6,8105.7,7970.3,218.62
20-07-2022,8028.9,8156.8,8173.3,7989.6,176.08
19-07-2022,8125.1,7920.4,8161.2,7912.7,201.69
18-07-2022,7963.1,8004.7,8030.1,7926.8,156.06
15-07-2022,7945.9,7821.3,7969.3,7806.2,197.82
14-07-2022,7804.3,7903.8,7922.2,7764.9,197.27
